Anio,ObjetivoEstrategico,DescripcionObjetivoEstrategico,CodigoIndicador,NombreIndicador,DescripcionGeneral,ObjetivoIndicador,Formula,Periodicidad,Responsable,MetaCodigo,MetaEtiqueta,MetaValor,ValorActual,Unidad,DireccionMeta,FechaActualizacion,Fuente,Estado
2025,Posicionamiento,"Aumentar el posicionamiento interno y externo del CECP, a través de la comunicación integral de su quehacer y la implementación de estrategias comerciales y de mercadeo que destaquen su valor agregado.",14,Alcance digital,Usuarios únicos impactados por contenidos web y redes del CECP...,Aumentar la visibilidad externa del CECP vía canales digitales,Σ Usuarios impactados,Trimestral,Equipo de Comunicaciones y Mercadeo,M1,Cumplimiento,28000,62149,,mayor_igual,14/03/2026,Migración formato 2025,Activo
2025,Posicionamiento,"Aumentar el posicionamiento interno y externo del CECP, a través de la comunicación integral de su quehacer y la implementación de estrategias comerciales y de mercadeo que destaquen su valor agregado.",15,Conversión a matriculas,Número de leads que se convierten en matriculados...,Medir la eficacia comercial y la tasa de conversión del CECP,(Matriculados / Leads) x 100,Mensual,Gestora de Mercadeo y Apoyo Telemercadeo,M1,Cumplimiento,10%,28%,%,mayor_igual,14/03/2026,Migración formato 2025,Activo
2025,Posicionamiento,"Aumentar el posicionamiento interno y externo del CECP, a través de la comunicación integral de su quehacer y la implementación de estrategias comerciales y de mercadeo que destaquen su valor agregado.",16,Tasa de crecimiento de seguidores,Incremento porcentual de seguidores en plataformas digitales...,Medir el impacto de las acciones comunicativas...,((Seguidores actual - previos) / previos) x 100,Anual,Equipo de Comunicaciones y Mercadeo,M1,Meta Instagram,18%,42%,%,mayor_igual,14/03/2026,Migración formato 2025,Activo
2025,Posicionamiento,"Aumentar el posicionamiento interno y externo del CECP, a través de la comunicación integral de su quehacer y la implementación de estrategias comerciales y de mercadeo que destaquen su valor agregado.",16,Tasa de crecimiento de seguidores,Incremento porcentual de seguidores en plataformas digitales...,Medir el impacto de las acciones comunicativas...,((Seguidores actual - previos) / previos) x 100,Anual,Equipo de Comunicaciones y Mercadeo,M2,Meta Facebook,18%,"10,1%",%,mayor_igual,14/03/2026,Migración formato 2025,Activo
2025,Posicionamiento,"Aumentar el posicionamiento interno y externo del CECP, a través de la comunicación integral de su quehacer y la implementación de estrategias comerciales y de mercadeo que destaquen su valor agregado.",19,Eventos de posicionamiento realizados,Espacios generados para posicionar al CECP ante públicos internos y externos...,Fortalecer la interacción del CECP con sus públicos...,Σ eventos realizados,Anual,"Equipo de Comunicaciones, Mercadeo y Gestores",M1,Cumplimiento,12,34,,mayor_igual,14/03/2026,Migración formato 2025,Activo
2025,Posicionamiento,"Aumentar el posicionamiento interno y externo del CECP, a través de la comunicación integral de su quehacer y la implementación de estrategias comerciales y de mercadeo que destaquen su valor agregado.",20,Impacto social – Percepción de valor,Valoración de los eventos CECP por los asistentes...,Medir percepción del aporte al desarrollo personal...,Promedio de calificaciones de las encuestas,Anual,Gestora de Mercadeo y Comunicador,M1,Cumplimiento,4,"4,5",,mayor_igual,14/03/2026,Migración formato 2025,Activo
2025,Gestión Financiera,"Garantizar una adecuada y eficiente gestión financiera y administrativa, orientada a la generación de recursos para el bienestar de la comunidad universitaria y la población en general.",21,Autosostenibilidad,Ingresos propios respecto a gastos operativos...,Hacer seguimiento al cubrimiento de costos de operación...,Ingresos / Costos de funcionamiento,Anual,Equipo Gestor y Administrativa,M1,Cumplimiento,Menor o igual a 100%,45%,%,menor_igual,03/12/2025,Migración formato 2025,Activo
2025,Gestión Financiera,"Garantizar una adecuada y eficiente gestión financiera y administrativa, orientada a la generación de recursos para el bienestar de la comunidad universitaria y la población en general.",22,Liquidación de proyectos,Proyectos efectivamente liquidados...,Hacer seguimiento a la liquidación oportuna de proyectos,(Proyectos liquidados / Proyectos finalizados) x 100,Anual,"Gestor Educación Continua, Gestora Administrativa y Gestor de Plataformas",M1,Cumplimiento,60%,53%,%,mayor_igual,14/03/2026,Migración formato 2025,Activo
2025,Democratización del conocimiento,"Democratizar el conocimiento a través del diseño, ejecución de programas y proyectos de educación continua orientados al bienestar de la comunidad UNAL y la población en general",24,Recursos externos apalancados para bienestar,Relación de recursos externos sobre propios para programas de bienestar...,Potenciar programas de bienestar con financiación externa,Recursos externos / Recursos propios,Anual,Equipo Gestor y Administrativa,M1,Cumplimiento,30%,51%,%,mayor_igual,14/03/2026,Migración formato 2025,Activo
2025,Democratización del conocimiento,"Democratizar el conocimiento a través del diseño, ejecución de programas y proyectos de educación continua orientados al bienestar de la comunidad UNAL y la población en general",25,Impacto social – Recursos al bienestar,Excedentes del CECP destinados a programas de bienestar...,Hacer seguimiento a los excedentes destinados a programas de bienestar,Valor total de excedentes,Anual,Gestor Educación Continua y Gestora Administrativa,M1,Cumplimiento,$40.000.000,$20.003.524,COP,mayor_igual,14/03/2026,Migración formato 2025,Activo
